COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,COD_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,DC_TOT,HH_TOT,mat_hom_tot,mat_muj_tot,mat_total
15,151,15101,151,2,1,0,1,69,1998,387,296,683
15,151,15101,151,2,1,0,1,13,445,99,86,185
15,151,15101,151,2,1,1,1,25,917,398,115,513
15,151,15101,151,2,1,0,1,69,2571,471,541,1012
15,151,15101,151,2,1,0,1,69,2563,519,471,990
15,151,15101,151,2,1,0,1,87,3335,682,464,1146
15,151,15101,151,2,1,0,1,53,1877,358,293,651
15,151,15101,151,2,1,0,1,93,3404,807,727,1534
15,151,15101,151,2,1,0,1,22,689,5,158,163
15,151,15101,151,2,1,0,1,39,1405,222,147,369
15,151,15101,151,2,1,0,1,31,1027,180,143,323
15,151,15101,151,2,1,0,1,26,925,158,105,263
15,151,15101,151,2,1,0,1,28,909,162,129,291
15,151,15101,151,2,1,0,1,60,2034,194,215,409
15,151,15101,151,2,1,0,1,31,1029,168,77,245
15,151,15101,151,2,1,0,1,29,1107,178,176,354
15,151,15101,151,2,1,0,1,36,1288,181,136,317
15,151,15101,151,2,1,0,1,29,1015,186,140,326
15,151,15101,151,2,1,0,1,50,1755,268,203,471
15,151,15101,151,2,1,0,3,0,0,0,0,0
15,151,15101,151,2,1,0,1,76,2848,548,484,1032
15,151,15101,151,2,1,0,1,56,2113,383,284,667
15,151,15101,151,2,1,0,1,24,794,89,91,180
15,151,15101,151,2,1,0,1,26,828,162,110,272
15,151,15101,151,2,1,0,1,46,1606,382,375,757
15,151,15101,151,2,1,0,1,48,1723,291,237,528
15,151,15101,151,2,1,0,1,25,853,107,62,169
15,151,15101,151,2,1,1,1,35,1292,214,205,419
15,151,15101,151,2,1,1,1,50,1914,382,334,716
15,151,15101,151,2,1,1,1,19,730,110,98,208
15,151,15101,151,2,1,1,1,9,261,57,63,120
15,151,15101,151,2,1,0,1,35,1190,123,149,272
15,151,15101,151,2,1,1,1,38,1498,271,264,535
15,151,15101,151,2,1,1,1,7,198,44,35,79
15,151,15101,151,2,1,1,1,4,104,12,14,26
15,151,15101,151,2,1,1,1,4,93,11,13,24
15,151,15101,151,3,2,0,1,3,80,13,22,35
15,151,15101,151,3,2,0,3,0,0,0,0,0
15,151,15101,151,3,2,0,1,52,1810,0,925,925
15,151,15101,151,3,2,0,3,2,60,0,0,0
15,151,15101,151,4,3,0,1,0,0,0,0,0
15,151,15101,151,3,2,0,1,3,104,17,18,35
15,151,15101,151,3,2,0,1,44,1664,290,290,580
15,151,15101,151,3,2,0,2,0,0,0,0,0
15,151,15101,151,3,2,0,1,159,6137,1979,1962,3941
15,151,15101,151,3,2,0,1,10,338,75,65,140
15,151,15101,151,3,2,0,1,52,1858,485,494,979
15,151,15101,151,3,2,0,3,0,0,0,0,0
15,151,15101,151,3,2,0,1,5,155,12,23,35
15,151,15101,151,4,3,0,1,45,1641,268,244,512
15,151,15101,151,3,2,0,1,48,1872,436,466,902
15,151,15101,151,4,3,0,2,0,0,0,0,0
15,151,15101,151,3,2,0,1,1,30,11,15,26
15,151,15101,151,3,2,0,1,31,950,302,305,607
15,151,15101,151,4,3,0,1,62,1812,367,405,772
15,151,15102,151,2,1,1,1,3,51,4,5,9
15,151,15102,151,2,1,1,1,12,366,31,21,52
15,151,15102,151,2,1,1,1,3,49,2,0,2
15,151,15102,151,2,1,1,1,3,51,7,5,12
15,151,15102,151,2,1,1,1,3,49,2,0,2
15,151,15102,151,2,1,1,1,4,56,4,5,9
15,152,15201,151,2,1,1,1,29,982,173,100,273
